"Type.of.vehicle" "Single.Journey" "Return.Journey" "Monthly.Pass" "Local.Commercial.Vehicle" "tollbooth" "route" "concession" "Effective.Date" "Revision.Due.Date" "location" "Stretch" "Min.Road.Length" "Max.Road.Length" "funding.Model" "Capital.cost" "Commercial.Operation.Date" "Cumulative.Revenue" "Cumulative.Date" "Fee.Notification.Date" "Fee.Notification.No" "Design.Capacity" "Incharge" "Contractor" "Target.Traffic" "Target.Date" "Actual.Traffic" "Actual.Date" "Cumulative.Revenue.Discounted"
"1" "Car/Jeep/Van" 85 128 2560 NA " Thakurtola ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Thakurtola ( BOT )  Km 331.865 - NH-53 in Chhattisgarh  " " End of Durg Bypass - Chhattisgarh / Mah. Border  " 82.6 "s) " "( BOT ) " 4640000000 2012-02-04 1036600000 2013-11-30 2011-12-20 "Sr No. - 2839" NA "Jai Raj Singh Raghuvanshi / 7309038908" "Mukesh Devgan" NA 2013-11-20 19955 2013-11-30 FALSE
"2" "LCV" 149 224 4480 NA " Thakurtola ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Thakurtola ( BOT )  Km 331.865 - NH-53 in Chhattisgarh  " " End of Durg Bypass - Chhattisgarh / Mah. Border  " 82.6 "s) " "( BOT ) " 4640000000 2012-02-04 1036600000 2013-11-30 2011-12-20 "Sr No. - 2839" NA "Jai Raj Singh Raghuvanshi / 7309038908" "Mukesh Devgan" NA 2013-11-20 19955 2013-11-30 FALSE
"3" "Bus/Truck" 299 448 8960 NA " Thakurtola ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Thakurtola ( BOT )  Km 331.865 - NH-53 in Chhattisgarh  " " End of Durg Bypass - Chhattisgarh / Mah. Border  " 82.6 "s) " "( BOT ) " 4640000000 2012-02-04 1036600000 2013-11-30 2011-12-20 "Sr No. - 2839" NA "Jai Raj Singh Raghuvanshi / 7309038908" "Mukesh Devgan" NA 2013-11-20 19955 2013-11-30 FALSE
"4" "Upto 3 Axle Vehicle" 480 720 14400 NA " Thakurtola ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Thakurtola ( BOT )  Km 331.865 - NH-53 in Chhattisgarh  " " End of Durg Bypass - Chhattisgarh / Mah. Border  " 82.6 "s) " "( BOT ) " 4640000000 2012-02-04 1036600000 2013-11-30 2011-12-20 "Sr No. - 2839" NA "Jai Raj Singh Raghuvanshi / 7309038908" "Mukesh Devgan" NA 2013-11-20 19955 2013-11-30 FALSE
"5" "4 to 6 Axle" 480 720 14400 NA " Thakurtola ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Thakurtola ( BOT )  Km 331.865 - NH-53 in Chhattisgarh  " " End of Durg Bypass - Chhattisgarh / Mah. Border  " 82.6 "s) " "( BOT ) " 4640000000 2012-02-04 1036600000 2013-11-30 2011-12-20 "Sr No. - 2839" NA "Jai Raj Singh Raghuvanshi / 7309038908" "Mukesh Devgan" NA 2013-11-20 19955 2013-11-30 FALSE
"6" "HCM/EME" 480 720 14400 NA " Thakurtola ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Thakurtola ( BOT )  Km 331.865 - NH-53 in Chhattisgarh  " " End of Durg Bypass - Chhattisgarh / Mah. Border  " 82.6 "s) " "( BOT ) " 4640000000 2012-02-04 1036600000 2013-11-30 2011-12-20 "Sr No. - 2839" NA "Jai Raj Singh Raghuvanshi / 7309038908" "Mukesh Devgan" NA 2013-11-20 19955 2013-11-30 FALSE
"7" "7 or more Axle" 480 720 14400 NA " Thakurtola ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Thakurtola ( BOT )  Km 331.865 - NH-53 in Chhattisgarh  " " End of Durg Bypass - Chhattisgarh / Mah. Border  " 82.6 "s) " "( BOT ) " 4640000000 2012-02-04 1036600000 2013-11-30 2011-12-20 "Sr No. - 2839" NA "Jai Raj Singh Raghuvanshi / 7309038908" "Mukesh Devgan" NA 2013-11-20 19955 2013-11-30 FALSE
"8" "Car/Jeep/Van" 70 100 2255 35 " Bankapur ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/-" 2015-04-01 2016-03-31 " Bankapur ( Public Funded )  Km 352.550 - NH-4 in Karnataka  " " Gabbur - Devgiri  " 64 "s) " "( Public Funded ) " 3176900000 2008-03-03 884500000 2015-02-28 2012-07-16 "Sr No. - SO-1592" NA "Shri Rajesh / 9901793636" "MEP Infrastructure Developers Ltd." NA 2014-01-01 NA 2014-01-01 TRUE
"9" "LCV" 110 165 3645 55 " Bankapur ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/-" 2015-04-01 2016-03-31 " Bankapur ( Public Funded )  Km 352.550 - NH-4 in Karnataka  " " Gabbur - Devgiri  " 64 "s) " "( Public Funded ) " 3176900000 2008-03-03 884500000 2015-02-28 2012-07-16 "Sr No. - SO-1592" NA "Shri Rajesh / 9901793636" "MEP Infrastructure Developers Ltd." NA 2014-01-01 NA 2014-01-01 TRUE
"10" "Bus/Truck" 230 345 7635 115 " Bankapur ( Public Funded ) " 1 "Monthly Pass for Local non-commercial vehicles: Traffic  Rs.230/-" 2015-04-01 2016-03-31 " Bankapur ( Public Funded )  Km 352.550 - NH-4 in Karnataka  " " Gabbur - Devgiri  " 64 "s) " "( Public Funded ) " 3176900000 2008-03-03 884500000 2015-02-28 2012-07-16 "Sr No. - SO-1592" NA "Shri Rajesh / 9901793636" "MEP Infrastructure Developers Ltd." NA 2014-01-01 NA 2014-01-01 TRUE
